UNIPROT	REF_SEQ Protein
O15350-1	NP_005418
O15353	NP_003584
O15354	NP_005293
O15355	NP_002698
O15355	NP_002698
O15360-1	NP_000126
O15360-2	NP_001018122
O15370	NP_008874
O15371	NP_003744
O15374	NP_004687
O15375	NP_004686
O15379-1	NP_003874
O15381-1	NP_002524
O15381-2	NP_996671
O15382-1	NP_001181
O15389	NP_003821
O15392-1	NP_001159
O15392-2	NP_001012271
O15392-3	NP_001012270
O15393	NP_005647
O15394	NP_004531
O15397	NP_006381
O15399	NP_000827
O15409-1	NP_055306
O15409-2	NP_683697
O15409-2	NP_683697
O15409-4	NP_683696
O15427	NP_001035887
O15427	NP_001035887
O15427	NP_001035887
O15431	NP_001850
O15438-1	NP_003777
O15439	NP_005836
O15442	NP_001037835
O15444-1	NP_005615
O15446-1	NP_036231
O15455	NP_003256
O15457	NP_002431
O15460-1	NP_004190
O15460-2	NP_001017973
O15460-2	NP_001017973
O15467	NP_004581
O15479	NP_002355
O15480	NP_002356
O15481	NP_002358
O15482	NP_001577
O15482	NP_001577
O15482	NP_001577
O15484	NP_004046
O15488-1	NP_003909
O15492	NP_002919
O15499	NP_005306
O15503	NP_005533
O15504-1	NP_031368
O15511	NP_005708
O15514	NP_004796
O15516	NP_004889
O15519-1	NP_003870
O15520	NP_004456
O15522	NP_055175
O15523	NP_004651
O15524	NP_003736
O15525	NP_002350
O15525	NP_002350
O15527-1	NP_002533
O15527-2	NP_058212
O15527-3	NP_058213
O15527-4	NP_058214
O15527-5	NP_058434
O15527-6	NP_058436
O15527-8	NP_058438
O15528	NP_000776
O15529	NP_005296
O15530-1	NP_002604
O15533-1	NP_757345
O15533-2	NP_757346
O15534	NP_002607
O15535	NP_006290
O15537	NP_000321
O15539	NP_003608
O15540	NP_001437
O15541	NP_008909
O15544	NP_031380
O15550	NP_066963
O15551	NP_001297
O15552	NP_005297
O15553-2	NP_000234
O15554	NP_002241
O43148-1	NP_003790
O43150-1	NP_003878
O43155	NP_037363
O43156	NP_055472
O43157-1	NP_002664
O43159	NP_056139
O43166-1	NP_056371
O43167-1	NP_055612
O43172-1	NP_004688
O43173	NP_056963
O43175	NP_006614
O43181	NP_002486
O43182-1	NP_038286
O43182-2	NP_006116
O43182-3	NP_001165
O43182-4	NP_038267
O43184-1	NP_003465
O43186	NP_000545
O43189-1	NP_077084
O43189-2	NP_002627
O43193-1	NP_001498
O43194	NP_001499
O43196-1	NP_002432
O43196-1	NP_002432
O43196-2	NP_751897
O43196-3	NP_079535
O43236-1	NP_004565
O43236-2	NP_536341
O43237	NP_006132
O43240	NP_001070968
O43240	NP_001070968
O43240	NP_001070968
O43242	NP_002800
O43246	NP_004164
O43248	NP_055027
O43251-2	NP_001026865
O43252	NP_005434
O43255	NP_005058
O43257	NP_006340
O43264	NP_004715
O43278-1	NP_857593
O43278-2	NP_001027539
O43278-2	NP_001027539
O43280	NP_009111
O43281-1	NP_005855
O43281-2	NP_115835
O43283	NP_004712
O43286	NP_004767
O43290	NP_005137
O43291	NP_066925
O43293	NP_001339
O43295-1	NP_055665
O43295-2	NP_001028289
O43295-3	NP_001028288
O43296	NP_003408
O43298	NP_054726
O43299-1	NP_055670
O43300	NP_056379
O43303-2	NP_055526
O43306-1	NP_056085
O43306-2	NP_066193
O43307	NP_056000
O43309	NP_001034732
O43310-1	NP_055587
O43312-1	NP_055566
O43315	NP_066190
O43316-3	NP_006184
O43318-1	NP_663304
O43318-2	NP_003179
O43318-3	NP_663305
O43320	NP_003859
O43323	NP_066382
O43324	NP_004271
O43325	NP_065157
O43347	NP_002433
O43353-1	NP_003812
O43364	NP_006726
O43365	NP_109377
O43365	NP_109377
O43374	NP_008920
O43390	NP_005817
O43395-1	NP_004689
O43396	NP_004777
O43399-1	NP_003279
O43399-2	NP_955391
O43402	NP_006058
O43405	NP_004077
O43422-1	NP_004696
O43423	NP_036535
O43424	NP_001501
O43426-1	NP_003886
O43426-2	NP_982271
O43427-1	NP_942600
O43427-2	NP_004205
O43432-1	NP_003751
O43435-1	NP_542377
O43435-2	NP_005983
O43435-3	NP_542378
O43439-1	NP_005084
O43439-2	NP_001034798
O43447	NP_006338
O43448	NP_004723
O43451	NP_004659
O43462	NP_056968
O43463	NP_003164
O43464-1	NP_037379
O43464-2	NP_659540
O43482	NP_009211
O43488	NP_003680
O43490	NP_006008
O43491	NP_001422
O43493-2	NP_006455
O43497-1	NP_061496
O43497-10	NP_938197
O43497-11	NP_938198
O43497-12	NP_938199
O43497-13	NP_938200
O43497-14	NP_938407
O43497-2	NP_938201
O43497-3	NP_938202
O43497-4	NP_938191
O43497-5	NP_938190
O43497-6	NP_938192
O43497-7	NP_938194
O43497-8	NP_938193
O43497-9	NP_938196
O43502	NP_478123
O43505	NP_006867
O43508	NP_003800
O43511	NP_000432
O43513	NP_004261
O43520	NP_005594
O43521-1	NP_619527
O43521-2	NP_006529
O43524	NP_001446
O43524	NP_001446
O43525	NP_004510
O43526-1	NP_742105
O43526-2	NP_742104
O43526-3	NP_004509
O43526-4	NP_742106
O43526-6	NP_742107
O43529	NP_004845
O43541-1	NP_005576
O43542	NP_005423
O43543	NP_005422
O43555-1	NP_001492
O43555-2	NP_847902
O43555-3	NP_847901
O43557-1	NP_003798
O43557-2	NP_742011
O43559	NP_006644
O43561-1	NP_055202
O43561-2	NP_001014987
O43561-2	NP_001014987
O43567	NP_009213
O43567	NP_009213
O43570-1	NP_001209
O43570-2	NP_996808
O43572	NP_009133
O43586-1	NP_003969
O43592	NP_009166
O43593-1	NP_005135
O43593-2	NP_060881
O43598	NP_006434
O43602-3	NP_835365
O43603	NP_003848
O43609	NP_005832
O43609	NP_005832
O43610	NP_005831
O43612	NP_001515
O43613	NP_001516
O43614	NP_001517
O43615	NP_006342
O43617	NP_055223
O43623	NP_003059
O43633	NP_055268
O43633	NP_055268
O43638	NP_004109
O43639	NP_001004720
O43639	NP_001004720
O43653	NP_005663
O43657	NP_003261
O43660-1	NP_002660
O43663-1	NP_003972
O43665-2	NP_002916
O43670-1	NP_003448
O43670-2	NP_001027464
O43674	NP_002483
O43676	NP_002482
O43677	NP_002485
O43678	NP_002479
O43679	NP_001281
O43680	NP_003197
O43680	NP_003197
O43681	NP_004308
O43683	NP_004327
O43684	NP_004716
O43688	NP_003703
O43699-2	NP_942143
O43704	NP_055280
O43707	NP_004915
O43709-1	NP_059998
O43711	NP_066305
O43715	NP_057483
O43716	NP_789788
O43719	NP_055315
O43731	NP_006846
O43734-1	NP_671733
O43734-2	NP_679211
O43736	NP_004858
O43739-2	NP_004218
O43741	NP_005390
O43745	NP_071380
O43747	NP_001119
O43749	NP_036492
O43752	NP_005810
O43759-2	NP_663783
O43759-3	NP_663791
O43760	NP_004701
O43761	NP_004200
O43763	NP_057254
O43765	NP_003012
O43766	NP_006850
O43768-1	NP_004427
O43768-2	NP_996927
O43772	NP_000378
O43776	NP_004530
O43791	NP_001007227
O43791	NP_001007227
O43791	NP_001007227
O43791	NP_001007227
O43791	NP_001007227
O43791	NP_001007227
O43795-2	NP_036355
O43805	NP_003722
O43808	NP_006349
O43809	NP_008937
O43812	NP_036278
O43812	NP_036278
O43813	NP_006046
O43815	NP_003153
O43818	NP_004695
O43819	NP_005129
O43820-1	NP_003540
O43822-1	NP_004919
O43823	NP_005849
O43825	NP_003774
O43826-1	NP_001458
O43827	NP_066969
O43829	NP_003400
O43837-2	NP_777280
O43852-1	NP_001210
O43854-1	NP_005702
O43865-1	NP_006612
O43866	NP_005885
O43868	NP_004203
O43889-2	NP_006359
O43895	NP_003390
O43896	NP_006603
O43897-1	NP_036596
O43900	NP_006141
O43903	NP_005247
O43903	NP_005247
O43908	NP_038459
O43909	NP_001431
O43913	NP_002544
O43914-1	NP_003323
O43914-2	NP_937758
O43915	NP_004460
O43916	NP_003645
O43918-1	NP_000374
O43920	NP_004543
O43921	NP_001396
O43924	NP_002592
O43927	NP_006410
O43929	NP_002543
O43929	NP_002543
O43929	NP_002543
O43930	NP_002751
O43933	NP_000457
O60216	NP_006256
O60218	NP_064695
O60220	NP_004076
O60224	NP_001030004
O60224	NP_001030004
O60225-1	NP_783729
O60225-2	NP_066295
O60229	NP_003938
O60231	NP_003578
O60232	NP_006387
O60234	NP_004868
O60235	NP_004253
O60237-1	NP_002472
O60237-4	NP_115286
O60238	NP_004322
O60239	NP_001018009
O60240	NP_002657
O60242	NP_001695
O60243	NP_004798
O60244	NP_004220
O60245-1	NP_002580
O60245-2	NP_115832
O60245-3	NP_115833
O60248	NP_008873
O60256	NP_002758
O60258-1	NP_003858
O60259-1	NP_009127
O60259-2	NP_653088
O60260-1	NP_004553
O60260-2	NP_054642
O60262	NP_443079
O60264	NP_003592
O60266	NP_004027
O60268-1	NP_055547
O60271-4	NP_003962
O60271-6	NP_758853
O60282	NP_004513
O60284	NP_055497
O60285-1	NP_055655
O60291-2	NP_056061
O60292	NP_055888
O60294	NP_055608
O60296	NP_055864
O60299	NP_055546
O60304	NP_067678
O60306	NP_055506
O60307	XP_038150
O60308-1	NP_055519
O60309	NP_955372
O60312	NP_077816
O60313-1	NP_056375
O60313-2	NP_570849
O60313-5	NP_570846
O60313-8	NP_570844
O60318	NP_003897
O60330-1	NP_003726
O60330-2	NP_115265
O60331	NP_036530
O60333-2	NP_055889
O60333-3	NP_904325
O60341-1	NP_055828
O60344-1	NP_055508
O60344-3	NP_001032401
O60346	NP_919431
O60353	NP_003497
O60356	NP_036517
O60359	NP_006530
O60381-1	NP_036389
O60383	NP_005251
O60391	NP_619635
O60403	NP_039227
O60404	NP_039226
O60412	NP_036509
O60423-2	NP_620168
O60431	NP_001004713
O60437	NP_002696
O60443-1	NP_004394
O60447	NP_005656
O60449-1	NP_002340
O60462-1	NP_957718
O60462-2	NP_958436
O60462-3	NP_003863
O60469-1	NP_001380
O60469-2	NP_996770
O60476	NP_006690
O60477-1	NP_055433
O60478	NP_003263
O60479	NP_005211
O60481	NP_003404
O60486	NP_005752
O60487	NP_005788
O60487	NP_005788
O60488-1	NP_075266
O60488-2	NP_004449
O60494	NP_001072
O60499-1	NP_003756
O60500-1	NP_004637
O60502-1	NP_036347
O60503	NP_001107
O60504-1	NP_005766
O60506-1	NP_006363
O60507	NP_003587
O60508	NP_056975
O60513	NP_003769
O60513	NP_003769
O60516	NP_003723
O60518	NP_036548
O60522	NP_001010870
O60524-1	NP_004704
O60543	NP_001270
O60547	NP_001491
O60548	NP_004465
O60551	NP_004799
O60563	NP_001231
O60565-1	NP_037504
O60566	NP_001202
O60568	NP_001075
O60575	NP_055286
O60583-1	NP_490595
O60583-2	NP_001232
O60603	NP_003255
O60609-1	NP_001487
O60610	NP_005210
O60635	NP_005718
O60636	NP_005716
O60637	NP_005715
O60641-1	NP_055656
O60645-1	NP_009208
O60656	NP_066307
O60658-1	NP_002596
O60658-2	NP_775656
O60658-3	NP_775657
O60658-4	NP_775658
O60658-4	NP_775658
O60662-1	NP_006054
O60663-2	NP_002307
O60664-1	NP_005808
O60669	NP_004722
O60671-1	NP_002844
O60671-1	NP_002844
O60674	NP_004963
O60675	NP_002351
O60676	NP_005483
O60678	NP_005779
O60682	NP_005089
O60683-1	NP_002608
O60683-2	NP_722540
O60684	NP_036448
O60688	NP_037445
O60701	NP_003350
O60704	NP_001008566
O60704	NP_001008566
O60706-1	NP_005682
O60706-2	NP_064693
O60711	NP_004802
O60716-21	XP_001126721
O60716-25	XP_001126756
O60716-26	XP_001126781
O60716-27	XP_001126793
O60716-29	XP_001126823
O60721-1	NP_004718
O60725	NP_036537
O60729-1	NP_201588
O60729-2	NP_003662
O60732	NP_005453
O60733-1	NP_003551
O60733-2	NP_001004426
O60739	NP_005866
O60741	NP_066550
O60749	NP_003091
O60755	NP_003605
O60759	NP_004279
O60760	NP_055300
O60762	NP_003850
O60763	NP_003706
O60765	NP_005640
O60779	NP_008927
O60783	NP_071383
O60806	NP_005140
O60809	NP_001034450
O60810	NP_001009611
O60811	NP_075390
O60812	NP_001013653
O60814	NP_542160
O60825-1	NP_006203
O60825-2	NP_001018063
O60826	NP_054727
O60828-1	NP_001027553
O60828-1	NP_001027553
O60828-1	NP_001027553
O60828-1	NP_001027553
O60828-1	NP_001027553
O60829	NP_008934
O60830	NP_005825
O60831	NP_009144
O60832	NP_001354
O60841	NP_056988
O60844	NP_689551
O60858-1	NP_005789
O60858-1	NP_005789
O60858-1	NP_005789
O60861-2	NP_003635
O60869-1	NP_003783
O60869-2	NP_694880
O60879-1	NP_006720
O60879-2	NP_009293
O60880-1	NP_002342
O60882	NP_004762
O60883	NP_004758
O60884	NP_005871
O60885-1	NP_490597
O60885-2	NP_055114
O60888-1	NP_001014840
O60888-2	NP_001014433
O60888-3	NP_001014837
O60888-3	NP_001014837
O60888-3	NP_001014837
O60890	NP_002538
O60894	NP_005846
O60895	NP_005845
O60896	NP_005847
O60902-1	NP_006875
O60906	NP_003071
O60909-1	NP_001005417
O60909-1	NP_001005417
O60911	NP_001324
O60921	NP_004498
O60925	NP_002613
O60927	NP_068778
O60928	NP_002233
O60930	NP_002927
O60931	NP_004928
O60934	NP_002476
O60936-2	NP_003937
O60938	NP_008966
O60939	NP_004579
O60941-1	NP_068707
O60941-2	NP_149160
O60941-4	NP_149159
O60942-1	NP_003791
O75019-1	NP_006854
O75022-1	NP_006855
O75023-1	NP_006831
O75027-2	NP_004290
O75030-10	NP_937801
O75030-2	NP_937802
O75030-4	NP_937821
O75030-6	NP_006713
O75030-8	NP_937820
O75030-9	NP_000239
O75031	NP_008962
O75037-2	NP_060066
O75044	NP_056141
O75051-1	NP_079455
O75052	NP_055512
O75056-2	XP_945760
O75056-3	NP_055469
O75061-1	NP_055602
O75063	NP_055679
O75069	NP_055673
O75071	NP_055589
O75072	NP_006722
O75074-1	NP_002324
O75077-1	NP_003803
O75078-1	NP_002381
O75084	NP_003498
O75093-1	NP_003052
O75094-1	NP_003053
O75106-1	NP_033720
O75106-2	NP_001149
O75110-1	NP_006036
O75112-1	NP_009009
O75116	NP_004841
O75121-1	NP_067679
O75121-2	NP_001009554
O75123	NP_055604
O75127	NP_056360
O75128-1	NP_056013
O75131	NP_003900
O75132	NP_055653
O75140-1	NP_055477
O75140-2	NP_001007189
O75143-2	NP_055556
O75144-1	NP_056074
O75145-1	NP_003651
O75146	NP_003950
O75150-1	NP_055586
O75153	NP_056044
O75154	NP_055515
O75155	NP_036430
O75157-1	NP_055594
O75159	NP_054730
O75159	NP_054730
O75164	NP_055478
O75165	NP_056083
O75170	NP_055493
O75173	NP_005090
O75175-1	NP_055331
O75177	NP_945173
O75182-1	NP_056075
O75185	NP_055676
O75190-1	NP_490647
O75190-2	NP_005485
O75192	NP_003838
O75197	NP_002326
O75204	NP_060319
O75208-1	NP_064708
O75223	NP_076956
O75298-1	NP_005610
O75298-2	NP_996783
O75298-3	NP_996784
O75306	NP_004541
O75309-1	NP_004053
O75310	NP_001064
O75311-1	NP_006520
O75311-2	NP_001036008
O75312	NP_003895
O75317	NP_872294
O75319-1	NP_003575
O75323	NP_001474
O75324	NP_003489
O75325	NP_006329
O75325	NP_006329
O75326	NP_003603
O75330-1	NP_036616
O75333	NP_005986
O75339	NP_003604
O75340	NP_037364
O75342	NP_001130
O75344	NP_003593
O75347	NP_004598
O75348	NP_004879
O75351	NP_004860
O75352	NP_004861
O75354	NP_001238
O75355	NP_001239
O75356	NP_001240
O75360	NP_006252
O75362	NP_006517
O75363-1	NP_003648
O75364	NP_005020
O75365-1	NP_116000
O75365-1	NP_116000
O75365-2	NP_009010
O75365-2	NP_009010
O75366	NP_006567
O75368	NP_003013
O75369-1	NP_001448
O75376-1	NP_006302
O75379-1	NP_003753
O75380	NP_004544
O75381	NP_004556
O75385	NP_003556
O75387-1	NP_003618
O75388	NP_001497
O75390	NP_004068
O75394	NP_004882
O75396	NP_004883
O75398-1	NP_066288
O75398-4	XP_001129197
O75409	XP_048235
O75409	XP_048235
O75410-1	NP_006274
O75419	NP_003495
O75425-1	NP_001035186
O75425-1	NP_001035186
O75425-1	NP_001035186
O75426-1	NP_277041
O75426-2	NP_036304
O75431	NP_006545
O75436	NP_004887
O75437	NP_004867
O75443	NP_005413
O75444-1	NP_005351
O75444-2	NP_001026974
O75445-1	NP_996816
O75445-2	NP_009054
O75446	NP_003855
O75448	NP_055630
O75449-1	NP_008975
O75459	NP_003776
O75460	NP_001424
O75462	NP_004741
O75467	NP_055162
O75469-1	NP_003880
O75469-4	NP_148934
O75473	NP_003658
O75474	NP_036215
O75475-1	NP_150091
O75475-2	NP_066967
O75477	NP_006450
O75478	NP_001479
O75486-2	NP_003590
O75487	NP_001439
O75489	NP_004542
O75493	NP_001208
O75494-4	XP_001126361
O75496	NP_056979
O75503	NP_006484
O75505	NP_036279
O75508	NP_005593
O75509	NP_055267
O75525-1	NP_006549
O75528-1	NP_006345
O75528-2	NP_597814
O75529-1	NP_055224
O75529-2	NP_001020418
O75531	NP_003851
O75533	NP_036565
O75534-1	NP_001007554
O75554	NP_009118
O75556	NP_002398
O75558	NP_003755
O75569-1	NP_003681
O75570	NP_004285
O75575-1	NP_055293
O75575-2	NP_001035737
O75578-1	NP_003628
O75581	NP_002327
O75582	NP_004746
O75586	NP_005457
O75592-1	NP_055872
O75593	NP_003914
O75594	NP_005082
O75596	NP_005743
O75600	NP_055106
O75602-1	NP_036575
O75602-2	NP_758442
O75603	NP_004743
O75604-1	NP_004196
O75607	NP_008924
O75608-1	NP_006321
O75610	NP_066277
O75616-1	NP_005693
O75618-1	NP_001034800
O75618-1	NP_001034800
O75618-1	NP_001034800
O75628	NP_054731
O75629	NP_003842
O75631	NP_008884
O75635	NP_001035237
O75635	NP_001035237
O75636-1	NP_003656
O75636-2	NP_775628
O75643	NP_054733
O75648	NP_060476
O75665-1	NP_003602
O75674	NP_005477
O75676-1	NP_003933
O75676-2	NP_001006945
O75678-2	NP_006596
O75683	NP_006744
O75688-1	NP_002697
O75688-2	NP_808907
O75689	NP_006860
O75691	NP_055318
O75694-1	NP_705618
O75694-2	NP_004289
O75695	NP_008846
O75711	NP_009212
O75712	NP_001005752
O75712	NP_001005752
O75715	NP_001500
O75717	NP_009017
O75718	NP_006362
O75746	NP_003696
O75747	NP_004561
O75752	NP_001033717
O75752	NP_001033717
O75752	NP_001033717
O75752	NP_001033717
O75752	NP_001033717
O75762	NP_015628
O75764	NP_003187
O75771-1	NP_002869
O75771-3	NP_598332
O75781-1	NP_002570
O75781-2	NP_001035224
O75783-1	NP_003952
O75787	NP_005756
O75791	NP_004801
O75792	NP_006388
O75795	NP_001068
O75800-1	NP_056980
O75815-1	NP_003558
O75817	NP_005828
O75820-1	NP_003443
O75820-4	NP_932094
O75821	NP_003746
O75822	NP_003749
O75828	NP_001227
O75829	NP_008946
O75830	NP_006208
O75832	NP_002805
O75838	NP_006374
O75840	NP_003700
O75841	NP_008883
O75843	NP_003908
O75843	NP_003908
O75844	NP_005848
O75845	NP_001020127
O75845	NP_001020127
O75865-2	NP_077013
O75874	NP_005887
O75879	NP_004555
O75880	NP_004580
O75881	NP_004811
O75882-1	NP_647537
O75882-2	NP_647538
O75884-1	NP_006597
O75886-1	NP_005834
O75888-1	NP_003799
O75888-2	NP_742084
O75888-3	NP_742085
O75891	NP_036322
O75896	NP_009206
O75897	NP_006579
O75899	NP_005449
O75900-1	NP_008914
O75907	XP_001125738
O75908	NP_003569
O75911-1	NP_004744
O75912	NP_004708
O75914-2	NP_002569
O75915	NP_006398
O75916-4	NP_003826
O75920-1	NP_068802
O75920-1	NP_068802
O75920-1	NP_068802
O75920-2	XP_001130874
O75920-2	XP_001130874
O75925	NP_057250
O75928-1	NP_004662
O75928-2	NP_775298
O75934	NP_005863
O75935-1	NP_009165
O75935-2	NP_077324
O75936	NP_003977
O75937	NP_055095
O75940	NP_005862
O75943-1	NP_579917
O75943-2	NP_002864
O75943-2	NP_002864
O75943-2	NP_002864
O75943-2	NP_002864
O75943-2	NP_002864
O75943-3	NP_579918
O75943-4	NP_579919
O75949	NP_056501
O75951	NP_065159
O75952-1	NP_036321
O75952-2	NP_722452
O75952-3	NP_619585
O75952-3	NP_619585
O75952-4	NP_722454
O75952-5	NP_619584
O75954	NP_006666
O75955	NP_005794
O75956	NP_005842
O75964	NP_006467
O75969	NP_006413
O75970-1	NP_003820
O75971-1	NP_006040
O75973	NP_006679
O75976	NP_001295
O75995	NP_061863
O76000	NP_001005226
O76001	NP_001005216
O76002	NP_112167
O76003	NP_006532
O76013	NP_003762
O76014	NP_003761
O76015	NP_006762
O76021	NP_056474
O76024	NP_005996
O76031	NP_006651
O76036-1	NP_004820
O76038	NP_008929
O76039	NP_001032420
O76039	NP_001032420
O76041	NP_006384
O76050-1	NP_004201
O76054	NP_036561
O76061	NP_003705
O76062-1	NP_003264
O76064	NP_003949
O76070	NP_003078
O76071	NP_004795
O76074-1	NP_001074
O76074-2	NP_236914
O76075-1	NP_004393
O76075-4	NP_001004285
O76076	NP_003872
O76080	NP_005998
O76081-1	NP_733466
O76081-6	NP_003693
O76082-1	NP_003051
O76083-1	NP_002597
O76083-10	NP_001001576
O76083-10	NP_001001576
O76083-11	NP_001001577
O76083-12	NP_001001578
O76083-13	NP_001001581
O76083-14	NP_001001582
O76083-15	NP_001001583
O76083-2	NP_001001567
O76083-4	NP_001001569
O76083-5	NP_001001570
O76083-6	NP_001001571
O76083-7	NP_001001572
O76083-7	NP_001001572
O76083-7	NP_001001572
O76083-7	NP_001001572
O76083-7	NP_001001572
O76083-8	NP_001001574
O76083-9	NP_001001575
O76087	NP_001468
O76087	NP_001468
O76087	NP_001468
O76090-1	NP_004174
O76093	NP_003853
O76094	NP_008878
O76095	NP_006685
O76099	NP_945182
O76100	NP_001005190
O77932-1	NP_005501
O94759-1	NP_003298
O94759-3	NP_001001188
O94760	NP_036269
O94761	NP_004251
O94762-1	NP_004250
O94762-2	NP_001003716
O94762-3	NP_001003715
O94766	NP_036332
O94768	NP_004217
O94769	NP_001384
O94776	NP_004730
O94777	NP_003854
O94778	NP_001160
O94779-1	NP_055176
O94779-2	NP_780775
O94782	NP_001017415
O94782	NP_001017415
O94782	NP_001017415
O94788-1	NP_003879
O94788-2	NP_733797
O94804	NP_005981
O94805	NP_057272
O94806	NP_005804
O94810	NP_899180
O94811	NP_008961
O94812-1	NP_003924
O94813-1	NP_004778
O94819	NP_055682
O94826	NP_055635
O94829	NP_055467
O94832-1	NP_056009
O94833-2	NP_056363
O94842	NP_055643
O94844	NP_001027552
O94844	NP_001027552
O94844	NP_001027552
O94851-1	NP_055447
O94855	NP_055637
O94856-3	NP_055905
O94864-1	NP_055675
O94874	NP_056138
O94876	NP_001017395
O94880	NP_055475
O94885	NP_056093
O94887-1	NP_055623
O94888-1	XP_941505
O94892	NP_055465
O94898	NP_055628
O94900	NP_055544
O94901-1	NP_079430
O94903	NP_009129
O94905-1	NP_009106
O94905-2	NP_001003790
O94905-2	NP_001003790
O94906	NP_036601
O94907	NP_036374
O94909-1	XP_001128811
O94909-1	XP_001128811
O94910-1	NP_001008701
O94910-2	NP_055736
O94911-1	NP_009099
O94916-1	NP_006590
O94916-2	NP_619728
O94916-2	NP_619728
O94916-2	NP_619728
O94916-3	NP_619727
O94919	XP_290546
O94919	XP_290546
O94921-2	NP_036527
O94923	NP_056369
O94925-1	NP_055720
O94927-1	XP_947397
O94929-1	NP_055760
O94933	NP_055741
O94941	NP_055763
O94952-1	NP_055817
O94952-2	NP_296373
O94953-1	NP_055830
O94955	NP_055714
O94956-1	NP_009187
O94972-1	NP_001005207
O94972-1	NP_001005207
O94983-1	NP_055914
O94985	NP_001009566
O94988-1	NP_001015045
O94989-1	NP_776089
O94991	NP_056382
O94993-1	NP_848511
O94993-2	NP_008948
O95006	NP_001004685
O95007	NP_001005281
O95013	NP_001005221
O95025	NP_689967
O95047	NP_112170
O95050	NP_006765
O95057	NP_660156
O95059	NP_008973
O95067	NP_004692
O95069	NP_001017424
O95070	NP_065203
O95071	NP_056986
O95072	NP_001041670
O95072	NP_001041670
O95073-1	XP_001126364
O95073-1	XP_001126364
O95076	NP_006483
O95081-1	NP_006067
O95084	NP_009104
O95096	NP_002500
O95104-1	NP_065757
O95125-1	NP_003446
O95136	NP_004221
O95139	NP_002484
O95140-1	NP_055689
O95147	NP_008957
O95149	NP_001036046
O95149	NP_001036046
O95149	NP_001036046
O95153-1	NP_004749
O95154	NP_036199
O95155-2	NP_006039
O95156	NP_009157
O95157	NP_009156
O95158	NP_009155
O95159-1	NP_006773
O95164	NP_009037
O95166	NP_009209
O95167	NP_004533
O95168	NP_004538
O95168	NP_004538
O95169	NP_004995
O95171	NP_003834
O95177	NP_001205
O95178	NP_004537
O95180-1	NP_066921
O95182	NP_004992
O95183	NP_006625
O95185-1	NP_003719
O95190	NP_002528
O95196-2	NP_006565
O95197	NP_006045
O95198	NP_009177
O95199-1	NP_001259
O95201	NP_001035893
O95201	NP_001035893
O95202	NP_036450
O95206-1	NP_002581
O95206-2	NP_116567
O95208-4	NP_055779
O95210	NP_003934
O95214	NP_056159
O95219	NP_003785
O95221	NP_003688
O95222	NP_003687
O95229	NP_008988
O95229	NP_008988
O95232-1	NP_006098
O95232-1	NP_006098
O95235	NP_005724
O95236-1	NP_663615
O95236-2	NP_055164
O95236-2	NP_055164
O95236-2	NP_055164
O95236-3	NP_663616
O95236-3	NP_663616
O95237	NP_004735
O95238	NP_036523
O95239-1	NP_036442
O95243-1	NP_003916
O95249	NP_004862
O95251	NP_008998
O95255	NP_001162
O95256	NP_003844
O95257	NP_006696
O95258-1	NP_003942
O95258-2	NP_073721
O95259-1	NP_758872
O95259-2	NP_002229
O95260-1	NP_001001976
O95260-2	NP_008972
O95263-1	NP_003710
O95263-2	NP_001025022
O95263-3	NP_001025023
O95263-4	NP_001025024
O95263-6	NP_001025025
O95271-1	NP_003738
O95274	NP_055215
O95278-1	NP_005661
O95278-2	NP_001018051
O95279	NP_003731
O95294-1	NP_004649
O95295	NP_036569
O95297-1	NP_003944
O95297-3	NP_078845
O95298	NP_004540
O95299	NP_004535
O95302	NP_009201
O95336	NP_036220
O95340-1	NP_004661
O95340-2	NP_001015880
O95343	NP_005404
O95347-1	NP_001036015
O95347-1	NP_001036015
O95347-1	NP_001036015
O95352-1	NP_006386
O95359-1	NP_008928
O95361-1	NP_006461
O95363	NP_006558
O95365	NP_056982
O95371	NP_036500
O95372	NP_009191
O95373	NP_006382
O95376	NP_006312
O95377	NP_005259
O95388-1	NP_003873
O95388-2	NP_543028
O95389	NP_003871
O95390	NP_005802
O95393	NP_055297
O95394-1	NP_056414
O95396	NP_055299
O95399-1	NP_006777
O95399-2	NP_068835
O95400	NP_006101
O95402	NP_004822
O95405-1	NP_004790
O95405-3	NP_015562
O95406	NP_005767
O95409	NP_009060
O95411	NP_004731
O95415	NP_056194
O95416	NP_004180
O95424	NP_054734
O95425-1	NP_068506
O95425-2	NP_003165
O95429	NP_004865
O95433	NP_036243
O95436-1	NP_006415
O95445	NP_061974
O95447	NP_689718
O95450-1	NP_055059
O95450-2	NP_067610
O95452	NP_006774
O95455	NP_055120
O95456-1	NP_003711
O95456-2	NP_982257
O95460-2	NP_003824
O95461-1	NP_004728
O95461-1	NP_004728
O95466-1	NP_005883
O95467	NP_057676
O95470	NP_003892
O95471-1	NP_001298
O95473	NP_036583
O95475	NP_031400
O95478	NP_055701
O95479	NP_004276
O95484	NP_066192
O95487	NP_006314
O95490-2	NP_036434
O95497	NP_004657
O95498	NP_004656
O95500	NP_036262
O95500	NP_036262
O95503	NP_055107
O95521	NP_075389
O95528	NP_110404
O95551	NP_057698
O95561	NP_640333
O95562	NP_955376
O95563	NP_056230
O95567	NP_056185
O95568	NP_219486
O95571	NP_055112
O95573	NP_004448
